"","row_index","exclusion_notes","exclusion_date"
"66",18012,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"67",18233,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"68",18947,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"69",20577,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"70",20578,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"71",20827,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"72",22201,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"73",22451,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"74",22802,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"75",23667,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"76",23702,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"77",24386,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"78",24632,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"79",24686,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"80",24777,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"81",24778,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"82",24895,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"83",25204,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"84",25843,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"85",25866,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"86",25941,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"87",25946,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"88",26073,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"89",26100,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"90",26124,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"91",26138,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"92",26139,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"93",26231,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"94",26539,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"95",27502,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"96",27868,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"97",28020,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"98",28021,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"99",28022,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"100",28069,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"101",28107,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"102",28148,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"103",28161,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"104",28172,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"105",28487,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"106",28998,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"107",29052,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"108",29890,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"109",30180,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"110",30214,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"111",30220,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"112",30647,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"113",31086,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"114",31243,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"115",32485,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"116",32486,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"117",32536,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"118",32579,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"119",32594,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"120",33001,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"121",33041,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"122",33042,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"123",33232,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"124",33885,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"125",33959,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"126",34045,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"127",34079,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"128",34569,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"129",35250,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"130",35890,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"131",35897,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"132",35930,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"133",36463,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"134",38163,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"135",38878,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"136",39172,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"137",39186,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"138",39229,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"139",39535,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"140",39987,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"141",40115,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"142",40297,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"143",40385,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"144",40390,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"145",40391,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"146",40406,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"147",40407,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"148",40420,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"149",40426,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"150",40444,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"151",40535,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"152",41210,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"153",41562,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"154",41691,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"155",41830,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
"156",41906,"species has no observations in AvoNet; it is a gapspecies. Setting clean to 'gapspecies' or 'all' in load or extract functions will remove these from raw_data and place them in their own gapspecies tibble.","11/Oct/2023"
